branch_name,laboratory,category
"Barracas","3 M","ACCESORIOS"
"Barracas","ABBOTT DIABETES","ACCESORIOS"
"Barracas","ALCOFRAC S.A.","ACCESORIOS"
"Barracas","ANDRÓMACO","ACCESORIOS"
"Barracas","APPER","ACCESORIOS"
"Barracas","ASPEN","ACCESORIOS"
"Barracas","ASSISTANCE","ACCESORIOS"
"Barracas","ATUCHA","ACCESORIOS"
"Barracas","BD","ACCESORIOS"
"Barracas","BEIERSDORF","ACCESORIOS"
"Barracas","BIOSINTEX","ACCESORIOS"
"Barracas","BODY CARE","ACCESORIOS"
"Barracas","BRUCK?S  SRL","ACCESORIOS"
"Barracas","CAPALBO","ACCESORIOS"
"Barracas","COLOPLAST","ACCESORIOS"
"Barracas","COMBE","ACCESORIOS"
"Barracas","COMODEX S.A.","ACCESORIOS"
"Barracas","COMODIN","ACCESORIOS"
"Barracas","DASIPA","ACCESORIOS"
"Barracas","DEMA","ACCESORIOS"
"Barracas","DEMED","ACCESORIOS"
"Barracas","ELEA","ACCESORIOS"
"Barracas","EUROLAB","ACCESORIOS"
"Barracas","FORMULAB","ACCESORIOS"
"Barracas","FRANKLIN (ACC)","ACCESORIOS"
"Barracas","GENOMMA LAB.","ACCESORIOS"
"Barracas","GRIMBERG","ACCESORIOS"
"Barracas","HALEON ARGENTIN","ACCESORIOS"
"Barracas","HECSPI AEROSOLES SACIFI","ACCESORIOS"
"Barracas","HENNIATEX","ACCESORIOS"
"Barracas","IRAOLA","ACCESORIOS"
"Barracas","KENVUE ARGENTIN","ACCESORIOS"
"Barracas","KIMBERLY CLARK ARGENTINA S.A.","ACCESORIOS"
"Barracas","KINEMED","ACCESORIOS"
"Barracas","KOLER","ACCESORIOS"
"Barracas","LAB INTERNACION","ACCESORIOS"
"Barracas","LAB. AZUL","ACCESORIOS"
"Barracas","LABORATORIO MIL","ACCESORIOS"
"Barracas","LABORATORIOS GASANA S.R.L.","ACCESORIOS"
"Barracas","LABORATORIOS IGALTEX S.R.L.","ACCESORIOS"
"Barracas","LENOX","ACCESORIOS"
"Barracas","LENTERDIT SA","ACCESORIOS"
"Barracas","LINDON APITER","ACCESORIOS"
"Barracas","LISTEN S.A.C.I.Y M.","ACCESORIOS"
"Barracas","LOS CATALANES SRL","ACCESORIOS"
"Barracas","MAVERICK","ACCESORIOS"
"Barracas","MORI","ACCESORIOS"
"Barracas","NOVO NORDISK","ACCESORIOS"
"Barracas","PANTYMED SA","ACCESORIOS"
"Barracas","PARAFARM","ACCESORIOS"
"Barracas","PELLIZA","ACCESORIOS"
"Barracas","PHARMAMERICAN S","ACCESORIOS"
"Barracas","PIERRE FABRE DE","ACCESORIOS"
"Barracas","PIERRE FABRE OR","ACCESORIOS"
"Barracas","PORTA HNOS S.A.","ACCESORIOS"
"Barracas","PROCER","ACCESORIOS"
"Barracas","PROPATO","ACCESORIOS"
"Barracas","QUÍMICA ESTRELLA","ACCESORIOS"
"Barracas","REX","ACCESORIOS"
"Barracas","RIVERO","ACCESORIOS"
"Barracas","ROCHE DIABETES","ACCESORIOS"
"Barracas","SANADROG","ACCESORIOS"
"Barracas","SANITAS","ACCESORIOS"
"Barracas","SCHAFER","ACCESORIOS"
"Barracas","SEISEME S.A.","ACCESORIOS"
"Barracas","SILFAB","ACCESORIOS"
"Barracas","SIN CLASIFICAR","ACCESORIOS"
"Barracas","SIN LABORATORIO","ACCESORIOS"
"Barracas","SKIN FREE","ACCESORIOS"
"Barracas","STIAL S.A","ACCESORIOS"
"Barracas","SUFARMA","ACCESORIOS"
"Barracas","SYRA S.A.","ACCESORIOS"
"Barracas","TEMIS-LOSTALÓ","ACCESORIOS"
"Barracas","TERUMO (ACC.)","ACCESORIOS"
"Barracas","THELMA & LOUISE","ACCESORIOS"
"Barracas","TOGNETTA LEONARDO ANIBAL","ACCESORIOS"
"Barracas","VALMAX","ACCESORIOS"
"Barracas","VARIOS","ACCESORIOS"
"Barracas","VEDE","ACCESORIOS"
"Barracas","WELS","ACCESORIOS"
"Barracas","WERFEN MEDICAL","ACCESORIOS"
"Barracas","ABBOTT EPD","MEDICAMENTOS"
"Barracas","ABBOTT NUTRICIO","MEDICAMENTOS"
"Barracas","ADIUM","MEDICAMENTOS"
"Barracas","ALCON","MEDICAMENTOS"
"Barracas","AMENITE","MEDICAMENTOS"
"Barracas","AMN","MEDICAMENTOS"
"Barracas","ANDRÓMACO","MEDICAMENTOS"
"Barracas","ARGENFARMA","MEDICAMENTOS"
"Barracas","ARISTON","MEDICAMENTOS"
"Barracas","ASPEN PHARMA","MEDICAMENTOS"
"Barracas","ASSISTANCE","MEDICAMENTOS"
"Barracas","ASTRAZENECA","MEDICAMENTOS"
"Barracas","AUSTRAL","MEDICAMENTOS"
"Barracas","B-LIFE","MEDICAMENTOS"
"Barracas","BAGÓ","MEDICAMENTOS"
"Barracas","BAGÓ-ARCOR","MEDICAMENTOS"
"Barracas","BALIARDA","MEDICAMENTOS"
"Barracas","BAUSCH & LOMB A","MEDICAMENTOS"
"Barracas","BAYER (PH)","MEDICAMENTOS"
"Barracas","BAYER CONSUMER","MEDICAMENTOS"
"Barracas","BD","MEDICAMENTOS"
"Barracas","BETA","MEDICAMENTOS"
"Barracas","BIFERDIL","MEDICAMENTOS"
"Barracas","BIOL","MEDICAMENTOS"
"Barracas","BIOPAS ARGENTIN","MEDICAMENTOS"
"Barracas","BIOSIDUS S.A.U.","MEDICAMENTOS"
"Barracas","BIOSINTEX","MEDICAMENTOS"
"Barracas","BIOSINTEX RETAI","MEDICAMENTOS"
"Barracas","BIOTENK","MEDICAMENTOS"
"Barracas","BOEHRINGER INGE","MEDICAMENTOS"
"Barracas","CABUCHI","MEDICAMENTOS"
"Barracas","CASASCO","MEDICAMENTOS"
"Barracas","CASSARÁ","MEDICAMENTOS"
"Barracas","CEPAGE","MEDICAMENTOS"
"Barracas","CETUS","MEDICAMENTOS"
"Barracas","COMBE","MEDICAMENTOS"
"Barracas","CRAVERI","MEDICAMENTOS"
"Barracas","DALLAS","MEDICAMENTOS"
"Barracas","DENVER FARMA","MEDICAMENTOS"
"Barracas","DOMÍNGUEZ","MEDICAMENTOS"
"Barracas","DR. MADAUS","MEDICAMENTOS"
"Barracas","DROGAL","MEDICAMENTOS"
"Barracas","DUNCAN","MEDICAMENTOS"
"Barracas","E. J. GEZZI","MEDICAMENTOS"
"Barracas","ECZANE","MEDICAMENTOS"
"Barracas","ELEA","MEDICAMENTOS"
"Barracas","ELEA (INACTIVO)","MEDICAMENTOS"
"Barracas","ETHICAL NUTRITI","MEDICAMENTOS"
"Barracas","EUROFARMA","MEDICAMENTOS"
"Barracas","EUROLAB","MEDICAMENTOS"
"Barracas","EXCELENTIA","MEDICAMENTOS"
"Barracas","FECOFAR","MEDICAMENTOS"
"Barracas","FERRING","MEDICAMENTOS"
"Barracas","FINADIET","MEDICAMENTOS"
"Barracas","FORDER","MEDICAMENTOS"
"Barracas","FORMULAB","MEDICAMENTOS"
"Barracas","FORTBENTON","MEDICAMENTOS"
"Barracas","FRAMINGHAM PHAR","MEDICAMENTOS"
"Barracas","FRANCELAB","MEDICAMENTOS"
"Barracas","FUTERMAN INTERN","MEDICAMENTOS"
"Barracas","GADOR","MEDICAMENTOS"
"Barracas","GALDERMA","MEDICAMENTOS"
"Barracas","GARDEN HOUSE AR","MEDICAMENTOS"
"Barracas","GEMABIOTECH","MEDICAMENTOS"
"Barracas","GÉMINIS FARMACÉ","MEDICAMENTOS"
"Barracas","GENOMMA LAB.","MEDICAMENTOS"
"Barracas","GLAM DISTRIBUCIONES S.R.L.","MEDICAMENTOS"
"Barracas","GLAXOSMITHKLINE","MEDICAMENTOS"
"Barracas","GRIMBERG","MEDICAMENTOS"
"Barracas","HALEON ARGENTIN","MEDICAMENTOS"
"Barracas","ISA","MEDICAMENTOS"
"Barracas","ISDIN","MEDICAMENTOS"
"Barracas","JANSSEN-CILAG","MEDICAMENTOS"
"Barracas","JEIANELL","MEDICAMENTOS"
"Barracas","KEMEX","MEDICAMENTOS"
"Barracas","KENVUE ARGENTIN","MEDICAMENTOS"
"Barracas","KLONAL","MEDICAMENTOS"
"Barracas","L.D.A.","MEDICAMENTOS"
"Barracas","LA SIBILA","MEDICAMENTOS"
"Barracas","LABORATORIO ENA","MEDICAMENTOS"
"Barracas","LABORATORIO MER","MEDICAMENTOS"
"Barracas","LABORATORIO MIL","MEDICAMENTOS"
"Barracas","LABORATORIOS BE","MEDICAMENTOS"
"Barracas","LABORATORIOS FE","MEDICAMENTOS"
"Barracas","LABORATORIOS TE","MEDICAMENTOS"
"Barracas","LAFARMEN","MEDICAMENTOS"
"Barracas","LAFEDAR","MEDICAMENTOS"
"Barracas","LAGOS","MEDICAMENTOS"
"Barracas","LAZAR","MEDICAMENTOS"
"Barracas","LEPETIT","MEDICAMENTOS"
"Barracas","LERSAN","MEDICAMENTOS"
"Barracas","LUNDBECK","MEDICAMENTOS"
"Barracas","MAR","MEDICAMENTOS"
"Barracas","MEDISOL","MEDICAMENTOS"
"Barracas","MEGALABS ARGENT","MEDICAMENTOS"
"Barracas","MERISANT ARGENT","MEDICAMENTOS"
"Barracas","MICROSULES ARG.","MEDICAMENTOS"
"Barracas","MONSERRAT","MEDICAMENTOS"
"Barracas","MONTPELLIER","MEDICAMENTOS"
"Barracas","MR PHARMA","MEDICAMENTOS"
"Barracas","MSD ARGENTINA S","MEDICAMENTOS"
"Barracas","NATUFARMA","MEDICAMENTOS"
"Barracas","NATURAL LIFE","MEDICAMENTOS"
"Barracas","NATURES BOUNTY","MEDICAMENTOS"
"Barracas","NEO-DERMOS","MEDICAMENTOS"
"Barracas","NESTLE","MEDICAMENTOS"
"Barracas","NESTLÉ HEALTH S","MEDICAMENTOS"
"Barracas","NEWPGA","MEDICAMENTOS"
"Barracas","NOLTER","MEDICAMENTOS"
"Barracas","NOVA ARGENTIA","MEDICAMENTOS"
"Barracas","NOVARTIS","MEDICAMENTOS"
"Barracas","NOVARUM PHARMA","MEDICAMENTOS"
"Barracas","NOVO NORDISK","MEDICAMENTOS"
"Barracas","NOVOPLOS","MEDICAMENTOS"
"Barracas","NUTRICIA-BAGÓ","MEDICAMENTOS"
"Barracas","OMICRON","MEDICAMENTOS"
"Barracas","OPELLA HEALTHCA","MEDICAMENTOS"
"Barracas","ORGANON ARG.","MEDICAMENTOS"
"Barracas","OXAPHARMA","MEDICAMENTOS"
"Barracas","PANALAB","MEDICAMENTOS"
"Barracas","PÉREZ","MEDICAMENTOS"
"Barracas","PFIZER","MEDICAMENTOS"
